[INFO ] | 2020-01-08 09:40:38.092 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 09:40:38.119 | [main] | UserController | Success
[INFO ] | 2020-01-08 09:40:38.119 | [main] | UserController | Found user with id 0 with username test.
[INFO ] | 2020-01-08 09:40:38.121 | [main] | UserController | We found test
[INFO ] | 2020-01-08 09:45:15.785 | [main] | OrderController | Submitted order for test
[INFO ] | 2020-01-08 09:45:15.787 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 09:45:15.815 | [main] | UserController | Success
[INFO ] | 2020-01-08 09:45:15.815 | [main] | UserController | Found user with id 0 with username test.
[INFO ] | 2020-01-08 09:45:15.816 | [main] | UserController | We found test
[INFO ] | 2020-01-08 09:58:05.740 | [main] | OrderController | Submitted order for test
[INFO ] | 2020-01-08 09:58:05.742 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 09:58:05.767 | [main] | UserController | Success
[INFO ] | 2020-01-08 09:58:05.767 | [main] | UserController | Found user with id 0 with username test.
[INFO ] | 2020-01-08 09:58:05.768 | [main] | UserController | We found test
[INFO ] | 2020-01-08 10:00:02.469 | [main] | OrderController | Submitted order for test
[INFO ] | 2020-01-08 10:00:02.470 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 10:00:02.494 | [main] | UserController | Success
[INFO ] | 2020-01-08 10:00:02.495 | [main] | UserController | Found user with id 0 with username test.
[INFO ] | 2020-01-08 10:00:02.495 | [main] | UserController | We found test
[INFO ] | 2020-01-08 10:00:40.698 | [main] | OrderController | Submitted order for test
[INFO ] | 2020-01-08 10:00:40.699 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 10:00:40.727 | [main] | UserController | Success
[INFO ] | 2020-01-08 10:00:40.727 | [main] | UserController | Found user with id 0 with username test.
[INFO ] | 2020-01-08 10:00:40.728 | [main] | UserController | We found test
[INFO ] | 2020-01-08 10:02:40.862 | [main] | OrderController | Submitted order for test
[INFO ] | 2020-01-08 10:02:40.864 | [main] | OrderController | successfully found order history for test
[INFO ] | 2020-01-08 10:02:40.887 | [main] | UserController | Success
